,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
163,Joe Flacco,NYJ,QB,35,5,4,74,134,864,6,3,6,22,3.67,0,0,0,0,0,0,1,0,0,0,0,55,54.8,60.8,57.8,0,35,0,2020
164,Scott Miller ,TAM,WR,23,12,5,0,0,0,0,0,3,14,4.67,0,43,27,414,15.33,2,0,0,2,0,0,55,81.8,84.8,68.3,0,61,0,2020
165,Russell Gage,ATL,WR,24,11,4,0,1,0,0,0,1,-2,-2.00,0,69,45,471,10.47,1,0,0,1,0,0,53,97.9,100.9,75.4,0,63,0,2020
166,Dwayne Haskins ,WAS,QB,23,4,4,89,146,939,4,3,13,30,2.31,1,0,0,0,0,0,4,2,1,0,0,53,52.6,60.6,55.6,0,36,0,2020
167,Zach Pascal,IND,WR,26,11,11,0,1,0,0,0,0,0,0,0,52,32,407,12.72,2,0,0,2,0,0,53,84.7,87.7,68.7,0,64,0,2020
168,Breshad Perriman,NYJ,WR,27,7,7,0,0,0,0,0,0,0,0,0,36,22,352,16.00,3,0,0,3,0,0,53,75.2,78.2,64.2,0,62,0,2020
169,Boston Scott,PHI,RB,25,10,3,0,0,0,0,0,56,270,4.82,1,21,16,140,8.75,1,1,0,2,0,0,53,69.0,75.0,61.0,0,51,0,2020
170,Trey Burton,IND,TE,29,8,2,0,0,0,0,0,2,3,1.50,2,38,23,213,9.26,3,0,0,5,0,0,52,74.6,77.6,63.1,0,19,0,2020
171,Tyler Higbee,LAR,TE,27,10,10,0,0,0,0,0,1,1,1.00,0,37,28,321,11.46,3,0,0,3,1,0,52,80.2,83.2,66.2,0,18,0,2020
172,Darnell Mooney,CHI,WR,23,11,5,0,0,0,0,0,1,-3,-3.00,0,65,36,385,10.69,2,1,0,2,1,0,52,88.2,91.2,70.2,0,65,0,2020
173,John Brown,BUF,WR,30,8,7,0,0,0,0,0,0,0,0,0,48,29,386,13.31,2,0,0,2,0,0,51,79.6,82.6,65.1,0,68,0,2020
174,Jared Cook,NOR,TE,33,10,3,0,0,0,0,0,0,0,0,0,37,22,285,12.95,4,1,1,4,0,0,51,72.5,76.5,61.5,0,20,0,2020
175,Jalen Guyton,LAC,WR,23,11,6,0,0,0,0,0,1,-4,-4.00,0,30,18,331,18.39,3,0,0,3,0,0,51,68.7,71.7,59.7,0,67,0,2020
176,Jakobi Meyers,NWE,WR,24,9,4,1,1,24,1,0,1,2,2.00,0,47,36,443,12.31,0,0,0,0,1,0,51,87.5,90.5,69.5,0,66,0,2020
177,Tre'Quan Smith,NOR,WR,24,11,7,0,0,0,0,0,0,0,0,0,36,27,321,11.89,3,1,0,3,0,0,50,77.1,80.1,63.6,0,69,0,2020
178,Allen Lazard,GNB,WR,25,5,4,0,0,0,0,0,2,17,8.50,0,27,19,295,15.53,3,0,0,3,0,0,49,68.2,71.2,58.7,0,70,0,2020
